,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
title,Brand New 2 Bedrooms Serviced Apartment,Sharp Newly Renovated 2 Bedrooms Flat With Bq,Very Neat 2 Bedroom Apartment,"Brand New Executive 2 Bedrooms, All Ensuite With Visitors Toilet, Pop",2 Bedrooms Flat,2 Bedroom Furnished Luxury Apartment,2 Bedrooms,2 Bedrooms Flat,Spacious 2 Bedroom Flat,2 Bedroom Duplex,Neat 2 Bedroom Flat,Lovely 2 Bedroom Apartment In A Beautiful Estate,Tastefully Finished 2 Bedroom Flat With 1 Room Boys Quarters,Well Finished 2 Bedrooms With Excellent Facilities,Luxury 2 Bedrooms Flat,Executive 2 Bedrooms Apartment,2 Bedrooms Apartment,Brand New Luxury 2 Bedrooms Apartment,Very Neat 2 Bedroom Apartment,Lovely 2 Bedrooms Apartment,
location,"Conservation Road, Chevron, Ikota, Lekki, Lagos","Ajah, Lagos","Redington, Olokonla, Ajah, Lagos","Unity Estate, Abule Odun, Egbeda, Alimosho, Lagos","Fola Agoro, Yaba, Lagos","Victoria Island Extension, Victoria Island (VI), Lagos","Anipupu, Okeira, Ogba, Ikeja, Lagos","Eleganza Gardens, Opposite Vgc, Lekki, Lagos","Idado Estate, Lekki, Lagos","Ologolo, Lekki, Lagos","Greenland Estate, Olokonla, Ajah, Lagos","Rahman Adeboyejo, Lekki, Lagos","Banana Island, Ikoyi, Lagos","Awoyaya, Ibeju Lekki, Lagos","Chevron, Lafiaji, Lekki, Lagos","Off Finbarrs Road, Akoka, Yaba, Lagos","Osapa, Lekki, Lagos","Fourth Roundabout, Lekki Phase 2, Lekki, Lagos","Ologolo, Lekki, Lagos","Marwa, Oniru, Victoria Island (VI), Lagos",Download our Mobile App
price,1800000,1200000,1000000,600000,900000,40000,650000,1500000,1600000,1500000,750000,2500000,12000000,700000,2000000,1100000,1500000,2000000,1500000,2500000,
advertiser,['Walex'],['Golden'],['Regis'],['Better'],['Dayo'],['Ammore'],['Mattimind'],['Ayindebamijoko'],['Tadmor'],['Fortrexton'],['Property4all'],['Purple'],['Ahmed'],['Top-notch'],['Malps'],['Perfect'],['Fortrexton'],['Property'],['Regis'],['Walefunmionline'],
