,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
title,Brand New And Classy 2 Bedroom Apartment,Spacious 2 Bedrooms Flat. 24 Hours Light,2 Bedroom Flat,Luxurious Two Bedroom Flat,Luxurious Two Bedroom Flat,Newly Built 2 Bedroom Flat,"Luxury, Furnished 2 Bedroom Water Front Apartment",Brand New 2 Bedroom Apartment,Brand New 2 Bedroom Apartment,Luxury And Spacious 2 Bedrooms Flat,2 Bedroom Flat With Car Park & Prepaid Meter,Spacious 2 Bedrooms Flat,2 Nos. 2 Bedrooms Flat,Lovely 2 Bedroom Flat,2 Bedrooms,2 Bedroom Flat,Furnished 2 Bedroom Flat,Newly Built 2 Bedrooms Flat,Luxury 2 Bedroom Apartment With Excellent Facilities,Luxury 2 Bedroom Apartment With Excellent Facilities,
location,"Lekki Phase 1, Lekki Phase 1, Lekki, Lagos","Ikate, Lekki, Lagos","Bera Estate, Lekki, Lagos","Lekki Ikate, Lekki, Lagos","Ikate, Lekki, Lagos","Ikate, Lekki, Lagos","Old Ikoyi, Ikoyi, Lagos","Ilasan, Lekki Phase 2, Lekki, Lagos","Canaan Estate By Dkk, Olokonla, Ajah, Lagos","Eputu Town, Ibeju Lekki, Lagos","Off Commercial Avenue, Close To Ozone Cinemas, Sabo, Yaba, Lagos","Atlantic View Estate, Igbo Efon, Lekki, Lagos","Arterial Road, Banana Island, Ikoyi, Lagos","Oniru, Victoria Island (VI), Lagos","Oke-ira, Ogba, Ikeja, Lagos","Peace Estate, Twins Fajia Supermarket, Iba, Ojo, Lagos","1004 Estate, Victoria Island (VI), Lagos","Off Afrugbun, Ijegun, Ikotun, Lagos","Banana Island Estate, Banana Island, Ikoyi, Lagos","Off Ahmadu Bello Way, Victoria Island (VI), Lagos",Download our Mobile App
price,2500000,2000000,2000000,2000000,2300000,2300000,8000000,2000000,1000000,700000,850000,1300000,10000000,3000000,650000,250000,4500000,300000,12000000,8500000,
advertiser,['The'],['Ama'],['100%'],['Royal-t'],['Royal-t'],['Usaking'],['Abodeworks'],['Property'],['Property'],['Smart'],['Tos'],['Datikomisha'],['Ubosi'],['Usaking'],['Tagbo'],['Tolulope'],['Jaykay'],['Kapital'],['First'],['First'],
