,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
title,2 Bedroom Flat,Luxury Two Bedrooms,Lovely 2 Bedroom Duplex,Lovely 2 Bedroom Flat,Lovely 2 Bedroom Apartment,Excellent 2 Bedroom Flat,Luxury Furnished 2 Bedroom Apartment With Excellent Amenities,A Lovely Luxury 2 Bedroom Flat,2 Bedroom Serviced Flat,Very Spacious Mini Flat With A Garden Area,Tasteful 2 Bedroom Flat With Ac,Lovely 2 Bedroom Flat With Ac,2 Bedroom Luxury Flat (serviced),Spacious 2 Bedroom Aparment,2 Bedrooms Apartment,A Lovely Luxury Big 2 Bedrooms Flat,Two Bedroom Flat,2 Bedroom,Brand New 2 Bedroom Flat,Brand New Super And Executive 2 Bedroom ( All Ensuite),
location,"Ogba, Ikeja, Lagos","Banana Island, Ikoyi, Lagos","Magodo 2 Scheme, GRA, Magodo, Lagos","Magodo 2, Magodo, Lagos","Banana Island, Ikoyi, Lagos","Ajayi Road, Ogba, Ikeja, Lagos","Eko Pearl Tower, Victoria Island, Eko Atlantic City, Lagos","Sabo, Yaba, Lagos","Ilasan, Lekki, Lagos","Off Admiralty Way, Lekki Phase 1, Lekki, Lagos","Ikate Elegushi, Lekki, Lagos","Oba Elegushi Street, Ikate Elegushi, Lekki, Lagos","Chevron Drive, Lekki, Lagos","Old Ikoyi, Ikoyi, Lagos","Igando Town, Onosa, Ibeju Lekki, Lagos","Onike, Yaba, Lagos","1004 Housing Estate, Victoria Island (VI), Lagos","Parkview, Ikoyi, Lagos","Ogba, Ikeja, Lagos","Off Apapa Road, Costain, Surulere, Lagos",Download our Mobile App
price,600000,7000000,2000000,1200000,5500000,1100000,63000,1500000,2000000,1500000,2000000,2300000,2750000,3500000,400000,1200000,600000,4000000,700000,1000000,
advertiser,['Emmanuel'],['Ditapet'],['Emmanuel'],['Emmanuel'],['Joe'],['Jide'],['Joossa'],['Butterfly'],['Diaamond'],['Misa'],['Jasat'],['Lagos'],['Kenzimo'],['C'],['Episco'],['Butterfly'],['Heights'],['Didi'],['Chaman'],['Pat-arizona'],
