,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
title,Spacious And Comfortable Luxury 2 Bedroom Penthouse With Bq,Brand New 2 Bedroom Flat,Newly Built Executive 2 Bedroom Flat.,2 Bedroom Luxury Apartments With Excellent Facilities,Luxury 2 Bedroom Flats With Maids Room,Luxury 2 Bedroom Flats With Maids Room,Luxury 2 Bedroom Apartments With Breathtaking Views From All The Rooms,Luxury 2 Bedroom Apartments With Breathtaking Views From All The Rooms,Serviced 2 Bedroom Apartment,Very Sharp Newly Built 2 Bedroom Flat In A Highly Secured Neighborhood,Two Bedroom Flat With Spacious Living Room And Kitchen,Self Serviced 2 Bedroom Flat,4 Units Of Brand New 2 Bedrooms Flat. Upstairs,Newly Built 2 Bedrooms Flat,2 Bedroom Apartment,New Modern 2 Bedroom Upstairs,Superb Brand New 2 Bedroom Flat,Super Classic Brand New 2 Bedroom Flat,2 Bedroom Flat,2 Bedroom Flat,
location,"Lekki Phase 1, Lekki, Lagos","Badore, Ajah, Lagos","Ologunfe, Awoyaya, Ibeju Lekki, Lagos","Banana Island, Ikoyi, Lagos","Eko Atlantic City, Lagos","Eko Atlantic City, Lagos","Victoria Island (VI), Lagos","Victoria Island (VI), Lagos","Lekki Phase 1, Lekki, Lagos","By Petrocam, Lekki Phase 1, Lekki, Lagos","Aleke, Adamo, Ikorodu, Lagos","Behind Blenco Supermarket, Sangotedo, Ajah, Lagos","By Pinnacle Filling Station Marwa 2nd Round About, Lekki Phase 1, Lekki, Lagos","Ilaje, Ajah, Lagos","Lsdpc, Alaka, Surulere, Lagos","Badore, Ajah, Lagos","Badore, Ajah, Lagos","Ajiwe, Ajah, Lagos","Bello Street, Lakowe, Ibeju Lekki, Lagos","Adeola, Medina, Gbagada, Lagos",Download our Mobile App
price,3000000,1000000,900000,12000000,55000,45000000,61000,22000000,2500000,2500000,150000,1000000,2500000,600000,700000,750000,850000,1100000,350000,1100000,
advertiser,['David'],['Walex'],['Elderkay'],['News'],['News'],['News'],['News'],['News'],['Dwellers'],['Lekkimetrohomes'],['Onpoint'],['Top'],['Xpresslet'],['Seyix'],['Diamondedge'],['Golden'],['Golden'],['Golden'],['Kotoye'],['Amosandproperty'],
